Brand,Model,Vehicle Class,Engine Size(L),Cylinders,Transmission,Fuel Type,Fuel Consumption City (L/100 km),Fuel Consumption Hwy (L/100 km),Fuel Consumption Comb (L/100 km),Fuel Consumption Comb (mpg),CO2 Emissions(g/km),fuel efficiency,Serial Number
CHEVROLET,SILVERADO 4WD,PICKUP TRUCK - STANDARD,5.3,8,A6,X,14.9,10.6,13.0,22.0,299.0,0.043478260869565216,245
FORD,EXPLORER AWD,SUV - STANDARD,3.5,6,AS6,X,14.8,10.7,13.0,22.0,299.0,0.043478260869565216,365
GMC,SIERRA 4WD,PICKUP TRUCK - STANDARD,5.3,8,A6,X,14.9,10.6,13.0,22.0,299.0,0.043478260869565216,461
CHEVROLET,SILVERADO 4WD,PICKUP TRUCK - STANDARD,5.3,8,A6,X,14.9,10.7,13.0,22.0,299.0,0.043478260869565216,1343
CHEVROLET,TAHOE 4WD,SUV - STANDARD,5.3,8,A6,X,15.1,10.4,13.0,22.0,299.0,0.043478260869565216,1366
FORD,EXPLORER AWD (EcoBoost),SUV - STANDARD,3.5,6,AS6,X,14.9,10.7,13.0,22.0,299.0,0.043478260869565216,1463
FORD,F-150 FFV 4X4,PICKUP TRUCK - STANDARD,5.0,8,AS6,E,21.7,15.1,18.7,15.0,299.0,0.06254180857170386,1477
FORD,MUSTANG CONVERTIBLE,SUBCOMPACT,5.0,8,AS6,X,15.4,10.0,13.0,22.0,299.0,0.043478260869565216,1507
GMC,SIERRA 4WD,PICKUP TRUCK - STANDARD,5.3,8,A6,X,14.9,10.7,13.0,22.0,299.0,0.043478260869565216,1543
GMC,YUKON 4WD,SUV - STANDARD,5.3,8,A6,X,15.1,10.4,13.0,22.0,299.0,0.043478260869565216,1554
MASERATI,QUATTROPORTE SQ4,FULL-SIZE,3.0,6,AS8,Z,15.7,9.7,13.0,22.0,299.0,0.043478260869565216,1804
JEEP,WRANGLER 4X4,SUV - SMALL,3.6,6,A5,X,14.1,11.1,12.8,22.0,299.0,0.04280936518640423,2828
JEEP,WRANGLER 4X4,SUV - SMALL,3.6,6,M6,X,14.2,11.0,12.8,22.0,299.0,0.04280936518640423,2829
CADILLAC,CTS Vsport,MID-SIZE,3.6,6,AS8,Z,15.0,9.9,12.7,22.0,299.0,0.04247491575005063,3479
CADILLAC,XTS Vsport AWD,FULL-SIZE,3.6,6,AS6,Z,15.0,10.3,12.8,22.0,299.0,0.04280936518640423,3486
CHEVROLET,TAHOE 4WD FFV,SUV - STANDARD,5.3,8,A6,E,20.8,14.5,18.0,16.0,299.0,0.06020066889632107,3569
GMC,YUKON 4WD FFV,SUV - STANDARD,5.3,8,A6,E,20.8,14.5,18.0,16.0,299.0,0.06020066889632107,3775
JEEP,WRANGLER 4X4,SUV - SMALL,3.6,6,A5,X,14.1,11.1,12.8,22.0,299.0,0.04280936518640423,3917
BMW,M4 CABRIOLET,SUBCOMPACT,3.0,6,AM7,Z,14.5,10.5,12.7,22.0,299.0,0.04247491575005063,4485
CHEVROLET,TAHOE 4WD FFV,SUV - STANDARD,5.3,8,A6,E,20.8,14.5,18.0,16.0,299.0,0.06020066889632107,4627
FORD,EXPLORER FFV AWD,SUV - STANDARD,3.5,6,AS6,X,14.5,10.6,12.7,22.0,299.0,0.04247491575005063,4712
GMC,YUKON 4WD FFV,SUV - STANDARD,5.3,8,A6,E,20.8,14.5,18.0,16.0,299.0,0.06020066889632107,4845
JEEP,WRANGLER JK 4X4,SUV - SMALL,3.6,6,A5,X,14.1,11.1,12.8,22.0,299.0,0.04280936518640423,4989
TOYOTA,TACOMA 4WD,PICKUP TRUCK - SMALL,3.5,6,M6,X,13.8,11.4,12.7,22.0,299.0,0.04247491575005063,5407
BMW,M4 Cabriolet,SUBCOMPACT,3.0,6,AM7,Z,14.5,10.5,12.7,22.0,299.0,0.04247491575005063,5547
BMW,M4 Cabriolet Competition,SUBCOMPACT,3.0,6,AM7,Z,14.5,10.5,12.7,22.0,299.0,0.04247491575005063,5549
CHEVROLET,Corvette,TWO-SEATER,6.2,8,AS8,Z,15.6,9.2,12.7,22.0,299.0,0.04247491575005063,5628
FORD,Explorer FFV AWD,SUV - STANDARD,3.5,6,AS6,X,14.5,10.6,12.7,22.0,299.0,0.04247491575005063,5751
MASERATI,Quattroporte S,FULL-SIZE,3.0,6,AS8,Z,15.1,10.3,12.8,22.0,299.0,0.04280936518640423,6119
MERCEDES-BENZ,AMG E 63 S 4MATIC+ Wagon,STATION WAGON - MID-SIZE,4.0,8,A9,Z,14.6,10.4,12.7,22.0,299.0,0.04247491575005063,6167
NISSAN,Frontier,PICKUP TRUCK - SMALL,4.0,6,A5,X,14.7,10.3,12.7,22.0,299.0,0.04247491575005063,6275
TOYOTA,Tacoma 4WD,PICKUP TRUCK - SMALL,3.5,6,M6,X,13.8,11.4,12.7,22.0,299.0,0.04247491575005063,6455
BMW,M4 Cabriolet,SUBCOMPACT,3.0,6,AM7,Z,14.5,10.5,12.7,22.0,299.0,0.04247491575005063,6598
BMW,M4 Cabriolet Competition,SUBCOMPACT,3.0,6,AM7,Z,14.5,10.5,12.7,22.0,299.0,0.04247491575005063,6599
JAGUAR,F-TYPE R AWD Convertible,TWO-SEATER,5.0,8,AS8,Z,15.2,9.8,12.7,22.0,299.0,0.04247491575005063,6989
JAGUAR,F-TYPE SVR AWD Convertible,TWO-SEATER,5.0,8,AS8,Z,15.2,9.8,12.7,22.0,299.0,0.04247491575005063,6990
JAGUAR,F-TYPE R AWD Coupe,TWO-SEATER,5.0,8,AS8,Z,15.2,9.8,12.7,22.0,299.0,0.04247491575005063,6995
JAGUAR,F-TYPE SVR AWD Coupe,TWO-SEATER,5.0,8,AS8,Z,15.2,9.8,12.7,22.0,299.0,0.04247491575005063,6996
MERCEDES-BENZ,AMG E 63 S 4MATIC+ Wagon,STATION WAGON - MID-SIZE,4.0,8,A9,Z,14.6,10.4,12.7,22.0,299.0,0.04247491575005063,7175
RAM,1500 4X4 eTorque,PICKUP TRUCK - STANDARD,5.7,8,A8,X,14.2,10.9,12.8,22.0,299.0,0.04280936518640423,7280
